	: 9675
F95A	CJK COMPATIBILITY IDEOGRAPH-F95A
	: 8B80
F95B	CJK COMPATIBILITY IDEOGRAPH-F95B
	: 62CF
F95C	CJK COMPATIBILITY IDEOGRAPH-F95C
	: 6A02
F95D	CJK COMPATIBILITY IDEOGRAPH-F95D
	: 8AFE
F95E	CJK COMPATIBILITY IDEOGRAPH-F95E
	: 4E39
F95F	CJK COMPATIBILITY IDEOGRAPH-F95F
	: 5BE7
F960	CJK COMPATIBILITY IDEOGRAPH-F960
	: 6012
F961	CJK COMPATIBILITY IDEOGRAPH-F961
	: 7387
F962	CJK COMPATIBILITY IDEOGRAPH-F962
	: 7570
F963	CJK COMPATIBILITY IDEOGRAPH-F963
	: 5317
F964	CJK COMPATIBILITY IDEOGRAPH-F964
	: 78FB
F965	CJK COMPATIBILITY IDEOGRAPH-F965
	: 4FBF
F966	CJK COMPATIBILITY IDEOGRAPH-F966
	: 5FA9
F967	CJK COMPATIBILITY IDEOGRAPH-F967
	: 4E0D
F968	CJK COMPATIBILITY IDEOGRAPH-F968
	: 6CCC
F969	CJK COMPATIBILITY IDEOGRAPH-F969
	: 6578
F96A	CJK COMPATIBILITY IDEOGRAPH-F96A
	: 7D22
F96B	CJK COMPATIBILITY IDEOGRAPH-F96B
	: 53C3
F96C	CJK COMPATIBILITY IDEOGRAPH-F96C
	: 585E
F96D	CJK COMPATIBILITY IDEOGRAPH-F96D
	: 7701
F96E	CJK COMPATIBILITY IDEOGRAPH-F96E
	: 8449
F96F	CJK COMPATIBILITY IDEOGRAPH-F96F
	: 8AAA
F970	CJK COMPATIBILITY IDEOGRAPH-F970
	: 6BBA
F971	CJK COMPATIBILITY IDEOGRAPH-F971
	: 8FB0
F972	CJK COMPATIBILITY IDEOGRAPH-F972
	: 6C88
F973	CJK COMPATIBILITY IDEOGRAPH-F973
	: 62FE
F974	CJK COMPATIBILITY IDEOGRAPH-F974
	: 82E5
F975	CJK COMPATIBILITY IDEOGRAPH-F975
	: 63A0
F976	CJK COMPATIBILITY IDEOGRAPH-F976
	: 7565
F977	CJK COMPATIBILITY IDEOGRAPH-F977
	: 4EAE
F978	CJK COMPATIBILITY IDEOGRAPH-F978
	: 5169
F979	CJK COMPATIBILITY IDEOGRAPH-F979
	: 51C9
F97A	CJK COMPATIBILITY IDEOGRAPH-F97A
	: 6881
F97B	CJK COMPATIBILITY IDEOGRAPH-F97B
	: 7CE7
F97C	CJK COMPATIBILITY IDEOGRAPH-F97C
	: 826F
F97D	CJK COMPATIBILITY IDEOGRAPH-F97D
	: 8AD2
F97E	CJK COMPATIBILITY IDEOGRAPH-F97E
	: 91CF
F97F	CJK COMPATIBILITY IDEOGRAPH-F97F
	: 52F5
F980	CJK COMPATIBILITY IDEOGRAPH-F980
	: 5442
F981	CJK COMPATIBILITY IDEOGRAPH-F981
	: 5973
F982	CJK COMPATIBILITY IDEOGRAPH-F982
	: 5EEC
F983	CJK COMPATIBILITY IDEOGRAPH-F983
	: 65C5
F984	CJK COMPATIBILITY IDEOGRAPH-F984
	: 6FFE
F985	CJK COMPATIBILITY IDEOGRAPH-F985
	: 792A
F986	CJK COMPATIBILITY IDEOGRAPH-F986
	: 95AD
F987	CJK COMPATIBILITY IDEOGRAPH-F987
	: 9A6A
F988	CJK COMPATIBILITY IDEOGRAPH-F988
	: 9E97
F989	CJK COMPATIBILITY IDEOGRAPH-F989
	: 9ECE
F98A	CJK COMPATIBILITY IDEOGRAPH-F98A
	: 529B
F98B	CJK COMPATIBILITY IDEOGRAPH-F98B
	: 66C6
F98C	CJK COMPATIBILITY IDEOGRAPH-F98C
	: 6B77
F98D	CJK COMPATIBILITY IDEOGRAPH-F98D
	: 8F62
F98E	CJK COMPATIBILITY IDEOGRAPH-F98E
	: 5E74
